Currency Portfolio,SD_A,SD_B,Correl,Weight_A,Weight_B,SD_Portfolio
"EURCHF, NZDCAD",0.002433,0.004553,-0.402452707,0.70750456,0.29149544,0.001698715
"EURCHF, NZDCHF",0.002433,0.005457,-0.024915895,0.827302919,0.171697081,0.002198949
"EURCHF, NZDJPY",0.002433,0.005916,-0.803786667,0.726268211,0.2727318,0.001068829
"EURCHF, NZDUSD",0.002433,0.006347,0.607392119,0.898999952,0.100000051,0.00262172
"EURCHF, USDCAD",0.002433,0.004198,-0.340068736,0.691239539,0.307760461,0.001737754
"EURCHF, USDCHF",0.002433,0.004141,-0.464699206,0.672417357,0.326582643,0.001564967
"EURCHF, USDJPY",0.002433,0.003077,-0.16073024,0.599121674,0.399878327,0.001749907
"EURGBP, AUDCAD",0.003356,0.004195,-0.13751553,0.596176984,0.402823016,0.002434907
"EURGBP, AUDCHF",0.003356,0.005417,-0.131587645,0.698445003,0.300554997,0.002672197
"EURGBP, AUDJPY",0.003356,0.005327,0.490290218,0.886116406,0.112883595,0.003310384
"EURGBP, AUDNZD",0.003356,0.0025,0.003336806,0.356080132,0.642919868,0.002006058
"EURGBP, AUDUSD",0.003356,0.006053,-0.062624448,0.75078577,0.248214231,0.002851623
"EURGBP, CADCHF",0.003356,0.004899,-0.103819917,0.664011967,0.334988033,0.002626737
"EURGBP, CADJPY",0.003356,0.004427,0.451897898,0.738349343,0.260650657,0.003171065
"EURGBP, CHFJPY",0.003356,0.003393,0.493489968,0.51031167,0.48868833,0.002912922
"EURGBP, EURJPY",0.003356,0.003214,0.458155584,0.459686614,0.539313386,0.002799059
"EURGBP, EURNZD",0.003356,0.004539,0.022410692,0.649122136,0.349877866,0.002724477
"EURGBP, GBPAUD",0.003356,0.004151,-0.536335627,0.568135869,0.430864131,0.001782202
"EURGBP, GBPCAD",0.003356,0.004095,-6.73546E-05,0.597622532,0.401377468,0.002592996
"EURGBP, GBPCHF",0.003356,0.004237,0.015987162,0.61567911,0.38332089,0.002648464
